,Date,Price,Open,High,Low,Vol.,Change %,day_of_year,score
108,2024-02-29,"61,169.3","62,467.1","63,653.4","60,512.5",119.29K,-2.08%,60,0.2121604387821218
109,2024-02-28,"62,467.6","57,048.7","63,915.3","56,704.9",173.64K,9.48%,59,0.2615413503307917
110,2024-02-27,"57,056.2","54,491.1","57,555.2","54,464.0",100.48K,4.70%,58,0.231685337813873
111,2024-02-26,"54,495.1","51,722.7","54,899.1","50,925.2",78.05K,5.36%,57,0.1979213897063976
112,2024-02-25,"51,722.7","51,572.1","51,952.0","51,299.0",23.61K,0.29%,56,0.2278978225102899
113,2024-02-24,"51,571.6","50,739.6","51,689.9","50,592.0",20.99K,1.64%,55,0.2251299608921306
114,2024-02-23,"50,740.5","51,320.6","51,532.5","50,537.6",43.27K,-1.13%,54,0.235949106040626
115,2024-02-22,"51,320.4","51,850.2","52,015.8","50,947.3",50.27K,-1.04%,53,0.2209953393034196
116,2024-02-21,"51,858.2","52,263.5","52,367.3","50,676.9",59.02K,-0.78%,52,0.2277600449128318
117,2024-02-20,"52,263.5","51,783.1","52,936.8","50,801.8",68.10K,0.93%,51,0.2074809146806793
118,2024-02-19,"51,783.6","52,119.6","52,484.8","51,694.2",36.73K,-0.64%,50,0.218925834611797
119,2024-02-18,"52,117.5","51,646.0","52,350.3","51,199.6",26.89K,0.91%,49,0.2239076387033522
120,2024-02-17,"51,646.0","52,134.2","52,175.5","50,652.3",32.45K,-0.94%,48,0.2192379966233875
121,2024-02-16,"52,134.2","51,901.4","52,556.7","51,612.6",52.86K,0.45%,47,0.1928201760804573
122,2024-02-15,"51,901.3","51,805.2","52,819.4","51,327.5",74.72K,0.23%,46,0.2138715201832441
123,2024-02-14,"51,782.4","49,708.6","52,010.7","49,263.8",80.35K,4.16%,45,0.194396006399921
124,2024-02-13,"49,716.0","49,941.0","50,326.6","48,398.3",78.51K,-0.45%,44,0.222161470188358
125,2024-02-12,"49,941.3","48,280.2","50,277.3","47,729.9",81.85K,3.45%,43,0.223579307709518
126,2024-02-11,"48,277.3","47,759.3","48,531.6","47,590.2",36.50K,1.09%,42,0.1996865707624466
127,2024-02-10,"47,758.2","47,128.0","48,149.0","46,875.0",31.20K,1.34%,41,0.2046488104199388
128,2024-02-09,"47,127.5","45,293.3","48,118.8","45,254.2",98.11K,4.05%,40,0.2112566123873245
129,2024-02-08,"45,293.3","44,346.2","45,579.2","44,336.4",66.38K,2.15%,39,0.2035076436603302
130,2024-02-07,"44,339.8","43,088.4","44,367.9","42,783.5",48.57K,2.91%,38,0.2116456249467473
131,2024-02-06,"43,087.7","42,697.6","43,375.5","42,566.8",33.32K,0.91%,37,0.1809097279328066
132,2024-02-05,"42,697.2","42,581.4","43,532.2","42,272.5",39.26K,0.27%,36,0.1972356529395376
133,2024-02-04,"42,581.4","43,006.2","43,113.2","42,379.4",20.33K,-0.99%,35,0.1940404833667195
134,2024-02-03,"43,005.7","43,194.7","43,370.4","42,882.0",14.57K,-0.44%,34,0.2259436263561793
